Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Kőzetmechanika;BMEEOGMAS41;3;1;1;0;0;Félévközi;6;Agazat_szerkezet;BMEEOGMAT41,
Földalatti műtárgyak, mélyalapozás;BMEEOGMAS42;3;2;1;0;0;Félévközi;6;Agazat_szerkezet;BMEEOGMAT45,
3D szerkezetkonstruálás;BMEEOHSAS45;3;0;2;0;0;Félévközi;6;Agazat_szerkezet;BMEEOHSAT42,BMEEOHSAT43,
Szerkezettervezés projektfeladat;BMEEODHAS41;6;0;0;0;2;Félévközi;6;Agazat_szerkezet;BMEEOHSAS47,BMEEOHSAS42,BMEEOGMAT45,
Közigazgatástan, ingatlan nyilvántartás;BMEEOUVAT44;3;2;0;0;0;Félévközi;7;Agazat_szerkezet;-
Szerkezetek geodéziája mérőgyak.;BMEEOAFAS42;1;0;0;2;0;Félévközi;7;Agazat_szerkezet;BMEEOAFAT43!,BMEEOEMAT44,
Tartók dinamikája;BMEEOTMAS43;3;2;0;0;0;Félévközi;7;Agazat_szerkezet;BMEEOTMAT43,BMETE90AX02,
Technikusi gyakorlat;BMEEODHAS42;0;0;0;0;0;Aláírás;7;Agazat_szerkezet;BMEEOHSAS47,BMEEOHSAS42,
BIM az építőiparban;BMEEOFTAM41;3;2;0;0;0;Félévközi;5;Agazat_szerkezet;-
Magasépítési acélszerkezetek;BMEEOHSA-A1;5;3;1;0;0;Vizsga;6;Spec_magasepites;BMEEOHSAS47,
Magasépítési vasbetonszerkezetek;BMEEOHSA-A2;5;3;1;0;0;Vizsga;6;Spec_magasepites;BMEEOHSAS42,BMEEOHSAS44,
Épületszerkezettervezés metodikája;BMEEOEMA-A1;2;1;1;0;0;Vizsga;7;Spec_magasepites;BMEEOEMAS43,
Szerkezettechnológia;BMEEOHSA-K1;3;1;1;0;0;Félévközi;7;Spec_magasepites;BMEEOHSAS47,BMEEOHSAS42,
Magasépítés projektfeladat;BMEEOHSA-AP;6;0;0;0;2;Félévközi;7;Spec_magasepites;BMEEODHAS41,BMEEOHSA-A1,BMEEOHSA-A2,
Szakdolgozat előkészítő;BMEEODHA-AT;9;0;0;0;0;Félévközi;8;Spec_magasepites;BMEEOHSA-AP,
Szakdolgozat;BMEEODHA-AS;15;0;0;0;0;Félévközi;8;Spec_magasepites;BMEEODHA-AT!,
Acélhidak;BMEEOHSA-B1;5;3;1;0;0;Vizsga;6;Spec_hidesmutargy;BMEEOHSAS47,BMEEOHSAS43,
Vasbeton hidak;BMEEOHSA-B2;4;2;1;0;0;Vizsga;6;Spec_hidesmutargy;BMEEOHSAS42,BMEEOHSAS43,BMEEOHSAS44,
Mélyépítési műtárgyak;BMEEOHSA-B3;3;2;0;0;0;Vizsga;7;Spec_hidesmutargy;BMEEOHSAT43,BMEEOHSAS43,BMEEOGMAS42,
Szerkezettechnológia;BMEEOHSA-K1;3;1;1;0;0;Félévközi;7;Spec_hidesmutargy;BMEEOHSAS47,BMEEOHSAS42,
Hídépítés projektfeladat;BMEEOHSA-BP;6;0;0;0;2;Félévközi;7;Spec_hidesmutargy;BMEEODHAS41,BMEEOHSA-B1,BMEEOHSA-B2,
Szakdolgozat előkészítő;BMEEODHA-BT;9;0;0;0;0;Félévközi;8;Spec_hidesmutargy;BMEEOHSA-BP,
Szakdolgozat;BMEEODHA-BS;15;0;0;0;0;Félévközi;8;Spec_hidesmutargy;BMEEODHA-BT!,
Geotechnika;BMEEOGMA-C1;7;3;1;0;0;Vizsga;6;Spec_geotech;BMEEOGMAT45,
Betontechnológia I.;BMEEOEMA-K1;3;2;0;0;0;Vizsga;6;Spec_geotech;BMEEOEMAT43,
Mérnökgeológia;BMEEOGMA-C2;2;1;1;0;0;Vizsga;7;Spec_geotech;BMEEOGMAS41,
Mélyépítési műtárgyak;BMEEOHSA-B3;3;2;0;0;0;Vizsga;7;Spec_geotech;BMEEOHSAT43,BMEEOHSAS43,BMEEOGMAS42,
Mélyépítés projektfeladat;BMEEOGMA-CP;6;0;0;0;2;Félévközi;7;Spec_geotech;BMEEODHAS41,BMEEOGMA-C1,
Szakdolgozat előkészítő;BMEEODHA-CT;9;0;0;0;0;Félévközi;8;Spec_geotech;BMEEOGMA-CP,
Szakdolgozat;BMEEODHA-CS;15;0;0;0;0;Félévközi;8;Spec_geotech;BMEEODHA-CT!,
Építéstechnológia I.;BMEEOEMA-D1;2;2;0;0;0;Vizsga;6;Spec_epitestech;BMEEOEMAS43,
Többdimenziós projektelemzés;BMEEOEMA-D3;4;2;1;0;0;Félévközi;6;Spec_epitestech;BMEEOEMAS43,BMEEPEKAT41!,
Építéstechnológia II.;BMEEOEMA-D2;3;1;1;0;0;Vizsga;7;Spec_epitestech;BMEEOEMA-D1,
Mérnöki nagylétesítmények megvalósítása;BMEEPEKA-D1;3;2;0;0;0;Vizsga;7;Spec_epitestech;BMEEPEKAT41,
Szerkezetek szerelésének szervezése;BMEEPEKA-D2;3;2;0;0;0;Vizsga;7;Spec_epitestech;BMEEPEKAT41,
Magasépítési technológia projektfeladat;BMEEOEMA-DP;6;0;0;0;2;Félévközi;7;Spec_epitestech;BMEEODHAS41,BMEEOEMA-D1,BMEEOEMA-D3,
Szakdolgozat előkészítő;BMEEODHA-DT;9;0;0;0;0;Félévközi;8;Spec_epitestech;BMEEOEMA-DP,
Szakdolgozat;BMEEODHA-DS;15;0;0;0;0;Félévközi;8;Spec_epitestech;BMEEODHA-DT!,
Betontechnológia I.;BMEEOEMA-K1;3;2;0;0;0;Vizsga;6;Spec_szerkezetianyagok;BMEEOEMAT43,
Újrahasznosítás az építőiparban;BMEEOEMA-K3;3;2;0;0;0;Félévközi;6;Spec_szerkezetianyagok;BMEEOEMAT43,
Betontechnológia II.;BMEEOEMA-K2;3;2;0;0;0;Vizsga;7;Spec_szerkezetianyagok;BMEEOEMA-K1,
Mélyépítési műtárgyak;BMEEOHSA-B3;3;2;0;0;0;Vizsga;7;Spec_szerkezetianyagok;BMEEOHSAT43,BMEEOHSAS43,BMEEOGMAS42,
Szerkezettechnológia;BMEEOHSA-K1;3;1;1;0;0;Félévközi;7;Spec_szerkezetianyagok;BMEEOHSAS47,BMEEOHSAS42,
Szerkezetépítés-technológia projektfeladat;BMEEOEMA-KP;6;0;0;0;0;Félévközi;7;Spec_szerkezetianyagok;BMEEODHAS41,BMEEOEMA-K1,
Szakdolgozat előkészítő;BMEEODHA-KT;9;0;0;0;0;Félévközi;8;Spec_szerkezetianyagok;BMEEOEMA-KP,
Szakdolgozat;BMEEODHA-KS;15;0;0;0;0;Félévközi;8;Spec_szerkezetianyagok;BMEEODHA-KT!,
Építmény-információs mod. és menedzsment;BMEEOFTA-M1;3;2;0;0;0;Félévközi;6;Spec_epitmenyinformacio;-
Építmény-információs rendszerek;BMEEOFTA-M2;6;0;0;4;0;Félévközi;6;Spec_epitmenyinformacio;BMEEOFTA-M1!,
BIM alkalmazások és technológiák;BMEEOEMA-M3;3;2;0;0;0;Vizsga;7;Spec_epitmenyinformacio;BMEEOFTAM41!,
Szakági együttműködés BIM alapokon;BMEEOTMA-M4;3;0;0;2;0;Félévközi;7;Spec_epitmenyinformacio;BMEEOFTAM41!,
Építmény-információs mod. és menedzs. proj.;BMEEOEMA-MP;6;0;0;0;0;Félévközi;7;Spec_epitmenyinformacio;BMEEODHAS41,BMEEODHAI41,BMEEODHAG41,
Szakdolgozat előkészítő;BMEEODHA-MT;9;0;0;0;0;Félévközi;8;Spec_epitmenyinformacio;BMEEOEMA-MP,
Szakdolgozat;BMEEODHA-MS;15;0;0;0;0;Félévközi;8;Spec_epitmenyinformacio;BMEEODHA-MT!,
Jelmagyarázat:;;;;;;;;;;
Aláírás elegendő;~;;;;;;;;;
Ajánlott előkövetelmény;$;;;;;;;;;
Azonos félévben felvehető;!;;;;;;;;;
