Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Repülőgépek rendszerei és avionika;KORHA550;8;2;3;2;0;Vizsga;6;Szakirany_legijarmuvek2024;KORHA548,KORHA553,
Repülőgép hajtóművek;KORHA556;6;2;1;2;0;Vizsga;6;Szakirany_legijarmuvek2024;KOVRA194,
Környezetvédelem és repülésbiztonság;KORHA547;3;2;0;0;0;Vizsga;6;Szakirany_legijarmuvek2024;KORHA548,
Repülőgép hajtóművek szerkezete;KORHA549;2;2;0;0;0;Félévközi jegy;7;Szakirany_legijarmuvek2024;KORHA556,KOVRA496$,TE90AX53$,
Repülőgépek tervezési lépései és gyártása;KORHA558;5;2;1;2;0;Félévközi jegy;7;Szakirany_legijarmuvek2024;KORHA553,
Aerodinamika;KOVRA454;3;2;0;1;0;Félévközi jegy;4;Szakirany_legijarmuvek;KOVRA194,
Repülőgép hajtóművek elmélete I.;KOVRA451;5;2;1;0;0;Félévközi jegy;4;Szakirany_legijarmuvek;KOVRA194,KOVRA190$,TE90AX53$,
Repülőgép hajtóművek elmélete II.;KORHA522;4;2;1;1;0;Vizsga;5;Szakirany_legijarmuvek;KOVRA451,KOVRA195$,TE90AX53$,
Repülőgépek szerkezete;KORHA526;5;2;0;1;0;Félévközi jegy;5;Szakirany_legijarmuvek;KOVRA454,KOGJA450,KOJSA493,
Repülésmechanika;KORHA525;4;2;1;0;0;Félévközi jegy;5;Szakirany_legijarmuvek;KOVRA454$,
Fenntartható repülés;KOVRA458;8;4;0;1;0;Vizsga;6;Szakirany_legijarmuvek;-
Repülőgép hajtóművek szerkezete;KOVRA453;4;2;1;1;0;Vizsga;6;Szakirany_legijarmuvek;KORHA522,KOVRA496$,TE90AX53$,
Repülőgépek rendszerei és avionika;KOVRA457;5;2;1;2;0;Vizsga;6;Szakirany_legijarmuvek;KORHA525,KORHA526,
Környezetvédelem, repülésbiztonság és légialkalmasság;KOVRA462;3;2;1;0;0;Félévközi jegy;7;Szakirany_legijarmuvek;KORHA525,KORHA522,
Légi eszközök;KOVRA461;4;2;1;1;0;Félévközi jegy;7;Szakirany_legijarmuvek;KORHA522,KOVRA496$,KOVRA497$,
Jármű hidraulika és pneumatika;KOEAA545;4;2;0;1;0;Félévközi jegy;4;Szakirany_jarmumechatronika;-
Járműfedélzeti rendszerek I.;KOKAA573;4;1;2;0;0;Félévközi jegy;4;Szakirany_jarmumechatronika;-
