Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Integrált áruszállítási rendszerek;KOKKA275;5;3;1;0;0;Félévközi jegy;6;Szakirany_Vasuti;KOKKA185,
Vasúti automatika II.;KOKAA273;4;2;1;0;0;Vizsga;6;Szakirany_Vasuti;KOKAA276,
Vasúti informatika;KOKUA220;3;1;0;2;0;Vizsga;6;Szakirany_Vasuti;-
Közlekedési hálózattervezés;KOKKA271;5;2;2;0;0;Vizsga;6;Szakirany_Vasuti;KOVRA189$,
Légterek, repülőterek;KOKUA229;3;1;2;0;0;Félévközi jegy;4;Szakirany_Legi;KOKKA238,
Közlekedési információs rendszerek I.;KOKKA240;5;2;0;2;0;Félévközi jegy;4;Szakirany_Legi;,
Légiközl. irányító és komm. rendszerek I.;KOKAA222;3;2;1;0;0;Félévközi jegy;5;Szakirany_Legi;-
Repülés üzemeltetés;KOVRA274;6;3;1;2;0;Vizsga;5;Szakirany_Legi;KOKKA185$,
Közlekedési információs rendszerek II.;KOKKA252;5;2;0;2;0;Vizsga;5;Szakirany_Legi;KOKKA240,
Légiközlekedési menedzsment;KOKKA257;4;2;1;0;0;Félévközi jegy;6;Szakirany_Legi;-
Integrált áruszállítási rendszerek;KOKKA275;5;3;1;0;0;Félévközi jegy;6;Szakirany_Legi;KOKKA185,
Légiközl. irányító és komm. rendszerek II;KOKAA253;4;2;1;0;0;Vizsga;6;Szakirany_Legi;KOKAA222,
Légi  informatika;KOKUA228;3;1;0;2;0;Vizsga;6;Szakirany_Legi;-
Közlekedési hálózattervezés;KOKKA271;5;2;2;0;0;Vizsga;6;Szakirany_Legi;KOVRA189$,
Vízi utak és műtárgyak;KORHA237;3;1;2;0;0;Félévközi jegy;4;Szakirany_Vizi;KOKKA238,
Közlekedési információs rendszerek I.;KOKKA240;5;2;0;2;0;Félévközi jegy;4;Szakirany_Vizi;,
Víziközl. irányító és komm. rendszerek I.;KOKAA230;3;2;1;0;0;Félévközi jegy;5;Szakirany_Vizi;-
Hajózási üzemtan;KOVRA263;6;3;1;2;0;Vizsga;5;Szakirany_Vizi;KOKKA185$,
Közlekedési információs rendszerek II.;KOKKA252;5;2;0;2;0;Vizsga;5;Szakirany_Vizi;KOKKA240,
Hajózási menedzsment;KOKKA264;4;2;1;0;0;Félévközi jegy;6;Szakirany_Vizi;-
Integrált áruszállítási rendszerek;KOKKA275;5;3;1;0;0;Félévközi jegy;6;Szakirany_Vizi;KOKKA185,
Víziközl. irányító és komm. rendszerek II.;KOKAA261;4;2;1;0;0;Vizsga;6;Szakirany_Vizi;,
Hajózási informatika;KOKUA236;3;1;0;2;0;Vizsga;6;Szakirany_Vizi;-
Közlekedési hálózattervezés;KOKKA271;5;2;2;0;0;Vizsga;6;Szakirany_Vizi;KOVRA189$,
Jelmagyarázat:;;;;;;;;;;
Aláírás elegendő;~;;;;;;;;;
Ajánlott előkövetelmény;$;;;;;;;;;
Azonos félévben felvehető;!;;;;;;;;;
